ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10LC013,2,8,2011,9.489,,9.709,,9.773,,,,,,9.994,,9.763,,9.705,,9.603,,9.505,,9.551,,9.591,,
10LC013,2,8,2012,,,9.906,,10.004,,10.109,,10.456,,10.230,,9.815,,9.826,,9.769,,9.774,,9.717,,9.602,,
10LC013,2,8,2013,9.754,,9.855,,,,,,10.443,,10.514,,9.824,,9.783,,9.728,,9.664,,9.835,,,,
10LC013,2,8,2014,,,,,,,,,,,,,,,8.900,,9.468,,9.688,,9.472,,9.676,,
10LC013,2,8,2015,,,,,,,10.151,,10.501,,9.655,,9.781,,9.838,,9.745,,9.654,,9.536,,9.544,,
10LC013,2,8,2016,9.655,,,,9.794,,9.884,,,,9.818,,9.891,,9.761,,9.900,,9.673,,9.613,,9.637,,
10LC013,2,8,2017,9.789,,,,,,,,,,10.076,,10.103,,,,9.648,,9.625,,9.576,,9.429,,
10LC002,1,1,2011,18.8,,20.5,,16.0,,14.7,,234,,418,,290,,231,,167,,98.0,,34.8,,25.8,,131
10LC002,1,1,2012,29.1,,28.8,,28.4,,28.6,,289,,530,,283,,181,,180,,119,,47.4,,29.0,,148
10LC002,1,1,2013,36.6,,35.1,,32.5,,31.1,,181,,693,,317,,216,,187,,140,,76.9,,43.5,,166
10LC002,1,1,2014,47.0,,37.9,,30.5,,27.3,,217,,397,,270,,171,,135,,94.9,,34.1,,19.5,,124
10LC002,1,1,2015,22.5,,19.2,,16.4,,17.5,,323,,234,,164,,162,,171,,104,,44.1,,24.8,,109
10LC002,1,1,2016,27.6,,22.2,,16.8,,16.3,,341,,298,,243,,165,,163,,102,,72.9,,32.8,,125
10LC002,1,1,2017,29.4,,25.4,,24.1,,24.2,,279,,358,,258,,171,,105,,83.2,,39.2,,31.0,,120
10LC002,2,8,2011,11.013,,11.122,,11.174,,11.302,,12.780,,13.052,,12.477,,12.159,,11.750,,11.359,,,,11.080,,
10LC002,2,8,2012,,,,,,,,,,,13.596,,12.434,,11.848,,11.901,,,,,,,,
10LC002,2,8,2013,,,11.558,,11.637,,11.737,,12.716,,14.165,,12.616,,12.070,,11.926,,11.614,,11.451,,,,
10LC002,2,8,2014,11.405,,11.480,,11.521,,11.599,,13.144,,13.059,,12.378,,11.789,,11.536,,11.463,,10.898,,10.944,,11.770
10LC002,2,8,2015,11.283,,11.447,,11.573,,11.674,,,,12.335,,11.901,,11.944,,12.104,,11.561,,11.252,,10.975,,
10LC002,2,8,2016,11.162,,11.141,,11.238,,11.326,,13.437,,12.621,,12.449,,11.940,,11.942,,11.527,,11.363,,11.025,,11.767
10LC002,2,8,2017,11.269,,11.329,,11.372,,11.492,,13.160,,12.905,,12.483,,11.959,,11.581,,11.473,,11.215,,10.900,,11.765
